vendor_id,n_txns,total_volume_usd,avg_price_dev_pct,max_price_dev_pct,any_sanctioned,near_ctr_txns,tbml_risk_tier
VND_0182,65,111465207.22763854,1.85,53.57,0,0,CLEAN
VND_0289,51,110960056.82000001,1.01,1.98,0,0,CLEAN
VND_0129,55,109548265.7433568,2.59,49.14,0,1,CLEAN
VND_0160,56,109017138.18415128,2.2,70.65,0,1,CLEAN
VND_0000,58,107180461.62065986,2.04,58.56,0,0,CLEAN
VND_0252,52,106788507.90998706,3.2,65.68,0,1,CLEAN
VND_0089,51,103391024.93,1.03,1.88,0,0,CLEAN
VND_0098,47,102915768.05,1.09,1.99,0,0,CLEAN
VND_0175,53,101152606.06435925,2.19,59.42,0,1,CLEAN
VND_0165,54,100800359.41,0.91,1.94,0,0,CLEAN
VND_0245,60,100663854.31,0.98,1.81,0,0,CLEAN
VND_0210,45,99885104.78732742,4.22,74.0,0,1,CLEAN
VND_0221,51,97223806.29360639,3.73,81.25,0,1,CLEAN
VND_0143,61,96883511.79157086,2.01,71.91,0,1,CLEAN
VND_0144,49,96716652.8,1.03,1.98,0,0,CLEAN
VND_0242,59,96711395.32000001,1.0,1.92,0,0,CLEAN
VND_0063,50,92306806.95268443,2.22,59.46,0,0,CLEAN
VND_0058,45,91464418.86285311,2.74,78.38,0,0,CLEAN
VND_0230,58,89531722.85,0.95,1.89,0,2,CLEAN
VND_0168,48,89266426.5924596,0.87,1.91,0,0,CLEAN
VND_0036,51,87951976.52,1.07,1.99,0,0,CLEAN
VND_0103,51,87607865.93884706,1.02,2.0,0,2,CLEAN
VND_0076,49,87207079.49245071,2.05,49.77,0,1,CLEAN
VND_0034,60,86779516.42135121,1.03,1.95,0,1,CLEAN
VND_0055,41,85879612.18506436,2.26,63.91,0,0,CLEAN
VND_0203,45,84927075.66713096,1.09,2.0,0,0,CLEAN
VND_0079,61,84547185.92949823,1.01,1.97,0,1,CLEAN
VND_0070,58,83683130.07,0.98,1.95,0,1,CLEAN
VND_0205,43,83531065.20771755,0.94,1.95,0,0,CLEAN
VND_0296,50,83494728.13,0.93,1.92,0,0,CLEAN
VND_0264,57,81552087.24855562,2.78,60.19,0,2,CLEAN
VND_0042,56,81299976.94878475,1.05,2.08,0,1,CLEAN
VND_0040,54,80813050.78999999,0.95,1.85,0,2,CLEAN
VND_0038,60,79840527.69,1.08,1.96,0,0,CLEAN
VND_0048,50,79092913.05,1.07,1.99,0,1,CLEAN
VND_0279,46,78929148.46950045,1.19,1.99,0,2,CLEAN
VND_0178,49,78582733.6,1.02,2.0,0,0,CLEAN
VND_0273,50,78496728.06,1.04,1.97,0,0,CLEAN
VND_0248,57,78339579.77165008,1.02,1.91,0,0,CLEAN
VND_0071,50,77883756.86185865,2.24,61.8,0,0,CLEAN
VND_0206,49,77746920.69983615,2.48,68.33,0,0,CLEAN
VND_0188,54,76712638.65123473,2.26,65.48,0,1,CLEAN
VND_0124,61,76320641.48092267,0.9,1.97,0,1,CLEAN
VND_0062,65,75688045.69775537,1.62,46.09,0,1,CLEAN
VND_0026,57,74905019.16987565,0.97,1.9,0,0,CLEAN
VND_0166,56,74387326.26,1.03,1.91,0,1,CLEAN
VND_0013,45,73609699.29944837,2.23,52.73,0,0,CLEAN
VND_0293,50,72997086.99,0.95,1.97,0,0,CLEAN
VND_0061,48,72331186.84553218,0.98,1.98,0,0,CLEAN
VND_0156,46,71710555.32238176,2.92,51.57,0,2,CLEAN
VND_0291,44,70772729.23088999,2.69,75.96,0,1,CLEAN
VND_0200,51,70568200.53775936,0.96,1.98,0,0,CLEAN
VND_0115,45,70026210.86,1.09,2.03,0,0,CLEAN
VND_0133,49,68522996.23,1.11,1.99,0,0,CLEAN
VND_0056,56,68385004.06787382,1.94,52.15,0,1,CLEAN
VND_0158,54,68304430.66096993,1.01,2.0,0,0,CLEAN
VND_0031,46,67480665.51245496,2.04,56.88,0,1,CLEAN
VND_0262,44,66503565.06511165,3.65,68.96,0,2,CLEAN
VND_0199,60,65436359.03,0.98,2.0,0,0,CLEAN
VND_0233,47,65220702.46441951,2.37,73.68,0,1,CLEAN
VND_0134,48,65215807.23,0.98,1.95,0,0,CLEAN
VND_0109,61,65017386.58,0.96,1.97,0,2,CLEAN
VND_0120,45,65004698.68,1.04,1.94,0,0,CLEAN
VND_0047,55,64600319.87254117,2.4,45.8,0,2,CLEAN
VND_0014,47,64412295.55583905,2.04,54.14,0,1,CLEAN
VND_0155,40,63454232.84231298,1.05,1.96,0,0,CLEAN
VND_0136,54,62945105.14482307,2.22,67.38,0,2,CLEAN
VND_0067,51,62748661.339999996,1.09,1.97,0,2,CLEAN
VND_0278,60,61803076.159137666,4.18,71.85,0,1,CLEAN
VND_0121,55,61054743.69550539,1.96,54.67,0,0,CLEAN
VND_0126,50,60489492.0377523,2.19,59.31,0,1,CLEAN
VND_0265,42,59906410.51,1.05,2.0,0,1,CLEAN
VND_0046,45,59351879.97,1.0,1.9,0,0,CLEAN
VND_0002,39,59268131.839999996,1.04,1.96,0,0,CLEAN
VND_0018,52,59249482.309999995,1.02,1.92,0,1,CLEAN
VND_0096,42,58780586.15,1.1,1.97,0,1,CLEAN
VND_0069,40,58657952.41135083,2.54,64.83,0,2,CLEAN
VND_0179,57,58648082.31,0.97,2.13,0,2,CLEAN
VND_0157,40,57755004.0,0.93,1.94,0,0,CLEAN
VND_0006,48,57632134.04307486,1.09,1.98,0,1,CLEAN
VND_0270,47,57592720.93,1.09,1.99,0,2,CLEAN
VND_0275,60,57331997.23239886,1.1,2.1,0,1,CLEAN
VND_0222,39,56883445.900682256,2.24,47.17,0,0,CLEAN
VND_0059,47,56754839.22,0.95,1.89,0,2,CLEAN
VND_0251,49,56711597.51296611,1.85,44.5,0,2,CLEAN
VND_0172,43,56683818.848155126,1.13,2.19,0,1,CLEAN
VND_0216,65,56661667.04,1.08,2.07,0,1,CLEAN
VND_0211,46,56029121.93,0.94,1.83,0,2,CLEAN
VND_0191,54,55412498.16,1.04,2.0,0,1,CLEAN
VND_0131,40,55163238.660000004,0.86,1.9,0,0,CLEAN
VND_0185,45,55043690.05714267,1.05,1.97,0,1,CLEAN
VND_0035,41,54910572.15714526,2.8,76.16,0,0,CLEAN
VND_0184,51,54291217.87419823,1.99,52.6,0,2,CLEAN
VND_0084,58,53915780.03570338,2.27,69.09,0,2,CLEAN
VND_0037,39,53830467.26525603,1.09,2.09,0,2,CLEAN
VND_0224,52,53711571.79,0.88,1.91,0,2,CLEAN
VND_0113,43,52978966.79487112,1.03,1.93,0,0,CLEAN
VND_0100,43,52973169.0091012,2.27,49.99,0,2,CLEAN
VND_0244,52,52951821.11,0.95,1.98,0,1,CLEAN
VND_0064,56,52582492.31,0.92,1.99,0,2,CLEAN
VND_0192,49,52370960.15,0.84,2.08,0,2,CLEAN
VND_0213,60,51878923.55672812,0.99,1.96,0,1,CLEAN
VND_0201,52,51519263.87600692,2.35,73.9,0,1,CLEAN
VND_0238,67,51412915.4,0.9,1.97,0,2,CLEAN
VND_0050,45,51249399.22,0.99,1.95,0,0,CLEAN
VND_0114,55,51209727.76357131,0.89,2.13,0,1,CLEAN
VND_0135,63,51074690.04765756,1.96,60.21,0,1,CLEAN
VND_0107,47,51049786.53844338,2.1,52.87,0,1,CLEAN
VND_0170,67,50885712.631404676,1.93,62.64,0,2,CLEAN
VND_0011,41,50825237.29264808,1.09,2.01,0,0,CLEAN
VND_0261,60,50404164.029563636,1.91,49.23,0,2,CLEAN
VND_0012,53,49944280.33503297,1.04,2.0,0,0,CLEAN
VND_0209,44,49757453.510936074,0.79,1.91,0,1,CLEAN
VND_0167,46,49254546.96,0.96,1.98,0,1,CLEAN
VND_0043,40,48378213.14,0.84,1.91,0,0,CLEAN
VND_0295,51,47900529.06858031,1.96,53.45,0,2,CLEAN
VND_0217,52,47504909.31959908,4.67,74.83,0,0,CLEAN
VND_0022,54,47309071.48253053,2.11,56.98,0,0,CLEAN
VND_0239,65,46997994.791816846,1.95,61.49,0,2,CLEAN
VND_0039,46,46423325.205412984,2.52,64.96,0,1,CLEAN
VND_0004,44,46351510.7878468,0.96,1.89,0,1,CLEAN
VND_0085,45,46342995.24,0.87,2.11,0,1,CLEAN
VND_0139,40,46174797.89988913,2.37,51.03,0,0,CLEAN
VND_0087,40,46029385.38807388,2.58,66.42,0,1,CLEAN
VND_0141,56,45944470.86,0.86,1.92,0,1,CLEAN
VND_0075,51,45873794.74794302,1.01,1.99,0,1,CLEAN
VND_0008,50,45578834.7467397,3.22,60.22,0,1,CLEAN
VND_0255,41,45213551.51,0.96,2.11,0,1,CLEAN
VND_0054,46,44683851.23609758,1.08,2.04,0,0,CLEAN
VND_0257,48,44253405.52733562,2.03,51.85,0,1,CLEAN
VND_0208,50,44179894.051221654,2.48,76.65,0,2,CLEAN
VND_0083,52,43774853.95,1.1,1.96,0,0,CLEAN
VND_0148,58,43341741.20879749,0.94,2.04,0,2,CLEAN
VND_0234,48,42852545.42869434,1.0,1.95,0,1,CLEAN
VND_0029,63,42798743.44,0.92,1.93,0,2,CLEAN
VND_0193,50,42764553.83721599,3.9,77.39,0,0,CLEAN
VND_0078,47,41835595.28,1.05,1.94,0,1,CLEAN
VND_0027,50,40958462.5203961,3.56,81.48,0,1,CLEAN
VND_0095,50,40773845.13108432,0.86,1.97,0,1,CLEAN
VND_0204,44,40721116.83,0.98,1.96,0,1,CLEAN
VND_0001,63,40126965.09510151,0.88,1.95,0,1,CLEAN
VND_0033,46,39151492.45220063,1.04,2.17,0,1,CLEAN
VND_0147,46,39002000.77,1.04,1.99,0,0,CLEAN
VND_0190,47,38943393.37650701,2.11,49.2,0,2,CLEAN
VND_0281,45,38763768.2,0.92,1.96,0,0,CLEAN
VND_0128,40,38408264.12,1.0,2.11,0,2,CLEAN
VND_0271,55,38085859.27,1.04,2.1,0,2,CLEAN
VND_0094,50,38033412.30080135,0.95,1.95,0,1,CLEAN
VND_0082,50,37860049.32,1.16,2.03,0,0,CLEAN
VND_0020,46,36883009.160000004,1.05,1.99,0,2,CLEAN
VND_0268,46,36701823.186597236,0.96,1.93,0,0,CLEAN
VND_0189,55,36527577.63443951,2.13,59.65,0,1,CLEAN
VND_0196,33,36303734.92820987,2.89,65.16,0,1,CLEAN
VND_0225,53,36134975.343135834,0.9,1.89,0,1,CLEAN
VND_0010,47,35688898.52582679,2.05,55.13,0,1,CLEAN
VND_0219,49,35644125.67410485,2.18,49.49,0,2,CLEAN
VND_0220,51,35136208.3943718,2.31,67.2,0,2,CLEAN
VND_0150,43,34494588.73762433,0.86,1.94,0,1,CLEAN
VND_0052,48,34353495.69464147,1.02,2.18,0,0,CLEAN
VND_0077,48,34275435.96,0.95,1.96,0,0,CLEAN
VND_0181,46,34148296.83,1.0,1.99,0,2,CLEAN
VND_0259,42,33632081.42682226,2.76,71.49,0,0,CLEAN
VND_0198,47,33503121.77,1.13,1.99,0,0,CLEAN
VND_0092,52,33482424.97969302,0.95,2.0,0,2,CLEAN
VND_0081,42,33204987.12,0.99,1.84,0,2,CLEAN
VND_0108,47,33069008.03,0.96,1.92,0,1,CLEAN
VND_0093,49,33040801.78286681,0.93,1.91,0,0,CLEAN
VND_0057,46,33035211.64,0.85,1.92,0,2,CLEAN
VND_0228,54,32602555.05131935,1.94,53.24,0,2,CLEAN
VND_0015,46,32487735.85,0.91,1.96,0,0,CLEAN
VND_0023,59,32384005.84,1.09,2.02,0,1,CLEAN
VND_0240,42,31362188.16,1.0,1.97,0,1,CLEAN
VND_0138,52,31277950.429407064,2.14,60.04,0,2,CLEAN
VND_0187,55,31207390.43,1.05,2.11,0,1,CLEAN
VND_0294,42,30434502.34765523,1.01,1.95,0,2,CLEAN
VND_0105,53,30225730.37,1.13,1.94,0,1,CLEAN
VND_0226,50,30017861.112847164,2.01,55.06,0,1,CLEAN
VND_0241,51,29549015.136756793,2.41,72.8,0,2,CLEAN
VND_0287,46,28322695.12,1.06,1.94,0,2,CLEAN
VND_0231,50,27765738.99,0.93,1.97,0,1,CLEAN
VND_0116,43,27666566.47,1.02,1.97,0,0,CLEAN
VND_0235,55,27565371.82,1.13,2.03,0,2,CLEAN
VND_0227,42,27328987.32,1.04,2.13,0,1,CLEAN
VND_0159,43,26642363.1,1.1,1.97,0,1,CLEAN
VND_0174,44,25598360.601985566,0.86,2.0,0,1,CLEAN
VND_0097,41,25026517.79487087,3.29,55.02,0,1,CLEAN
VND_0090,40,24807502.90204164,1.03,1.96,0,1,CLEAN
VND_0110,47,23421060.42220253,1.02,1.99,0,2,CLEAN
VND_0171,39,22393763.272524476,2.68,63.65,0,2,CLEAN
VND_0290,42,21938248.18,0.98,2.0,0,2,CLEAN
VND_0137,41,21690881.63,0.96,1.97,0,2,CLEAN
VND_0117,45,20765523.54354684,1.0,1.97,0,1,CLEAN
VND_0066,57,20450860.137856137,1.81,47.32,0,1,CLEAN
VND_0236,35,20092269.688095413,1.05,1.89,0,2,CLEAN
VND_0028,41,19540092.271446116,1.08,1.98,0,2,CLEAN
VND_0218,43,19153473.33638507,2.55,69.64,0,2,CLEAN
VND_0254,42,16325864.745670013,2.35,51.43,0,1,CLEAN
VND_0099,48,5648552.439671489,2.42,70.07,0,1,CLEAN
