transaction_id,vendor_id,vendor_country,date,total_value_usd,payment_method,near_ctr_count
TRX_015020,VND_0024,Switzerland,2023-07-26,9807.38,Wire,36
TRX_015002,VND_0024,Switzerland,2023-07-30,9833.36,Wire,36
TRX_015027,VND_0024,Switzerland,2023-08-13,9949.19,Wire,36
TRX_015009,VND_0024,Switzerland,2023-08-16,9926.09,Wire,36
TRX_015024,VND_0024,Switzerland,2023-08-24,9869.24,Wire,36
TRX_015021,VND_0024,Switzerland,2023-08-25,9805.05,Wire,36
TRX_015007,VND_0024,Switzerland,2023-08-27,9820.25,Wire,36
TRX_015012,VND_0024,Switzerland,2023-09-08,9943.35,Wire,36
TRX_015011,VND_0024,Switzerland,2023-09-10,9933.22,Wire,36
TRX_015016,VND_0024,Switzerland,2023-10-20,9867.67,Wire,36
TRX_001507,VND_0024,Switzerland,2023-10-27,8894.69,Wire,36
TRX_006777,VND_0024,Switzerland,2023-11-03,9795.43,Wire,36
TRX_015022,VND_0024,Switzerland,2023-11-08,9964.1,Wire,36
TRX_002128,VND_0024,Switzerland,2023-11-17,9398.42,Wire,36
TRX_014723,VND_0024,Switzerland,2023-11-21,9022.1,Wire,36
TRX_015005,VND_0024,Switzerland,2023-11-23,9860.09,Wire,36
TRX_015029,VND_0024,Switzerland,2023-11-27,9853.67,Wire,36
TRX_015004,VND_0024,Switzerland,2023-12-02,9956.63,Wire,36
TRX_015025,VND_0024,Switzerland,2023-12-14,9806.22,Wire,36
TRX_015013,VND_0024,Switzerland,2023-12-22,9848.87,Wire,36
TRX_001812,VND_0025,Sanctioned_Proxy_Beta,2023-01-20,8034.76,Wire,2
TRX_010924,VND_0025,Sanctioned_Proxy_Beta,2023-04-30,9863.49,Letter_of_Credit,2
TRX_010645,VND_0028,Germany,2023-02-16,8644.77,Letter_of_Credit,2
TRX_014282,VND_0028,Germany,2023-03-03,9037.31,Open_Account,2
TRX_000892,VND_0029,Singapore,2023-09-23,8038.94,Letter_of_Credit,2
TRX_001784,VND_0029,Singapore,2023-10-14,8738.61,Open_Account,2
TRX_009609,VND_0030,United Arab Emirates,2023-03-22,8223.66,Letter_of_Credit,6
TRX_000358,VND_0030,United Arab Emirates,2023-09-07,8234.52,Letter_of_Credit,6
TRX_010498,VND_0030,United Arab Emirates,2023-10-07,9955.81,Letter_of_Credit,6
TRX_013148,VND_0030,United Arab Emirates,2023-12-07,7861.89,Letter_of_Credit,6
TRX_008520,VND_0030,United Arab Emirates,2023-12-16,7976.96,Wire,6
TRX_002926,VND_0030,United Arab Emirates,2023-12-31,8563.9,Open_Account,6
TRX_002465,VND_0032,Germany,2023-06-02,9824.0,Open_Account,3
TRX_010855,VND_0032,Germany,2023-06-16,7701.97,Open_Account,3
TRX_000780,VND_0032,Germany,2023-09-10,8813.3,Open_Account,3
TRX_014340,VND_0037,Singapore,2023-03-03,9641.25,Letter_of_Credit,2
TRX_006485,VND_0037,Singapore,2023-08-24,9475.51,Letter_of_Credit,2
TRX_011838,VND_0040,United Arab Emirates,2023-08-02,8177.93,Letter_of_Credit,2
TRX_001126,VND_0040,United Arab Emirates,2023-11-29,7561.31,Wire,2
TRX_009346,VND_0041,Sanctioned_Proxy_Beta,2023-01-26,8404.0,Wire,2
TRX_005136,VND_0041,Sanctioned_Proxy_Beta,2023-05-25,8620.12,Open_Account,2
TRX_007391,VND_0044,Switzerland,2023-04-08,7657.32,Letter_of_Credit,3
TRX_002352,VND_0044,Switzerland,2023-06-03,8964.35,Open_Account,3
TRX_013280,VND_0044,Switzerland,2023-10-30,9410.79,Letter_of_Credit,3
TRX_007072,VND_0047,Singapore,2023-03-01,8267.64,Letter_of_Credit,2
TRX_010887,VND_0047,Singapore,2023-04-04,8548.05,Wire,2
TRX_005603,VND_0053,Sanctioned_Proxy_Beta,2023-03-13,8790.57,Letter_of_Credit,5
TRX_006597,VND_0053,Sanctioned_Proxy_Beta,2023-05-26,9359.35,Open_Account,5
TRX_003579,VND_0053,Sanctioned_Proxy_Beta,2023-10-08,9370.53,Letter_of_Credit,5
TRX_005330,VND_0053,Sanctioned_Proxy_Beta,2023-11-18,7606.56,Open_Account,5
TRX_002588,VND_0053,Sanctioned_Proxy_Beta,2023-11-21,7698.66,Letter_of_Credit,5
TRX_006280,VND_0057,Japan,2023-04-06,8974.02,Letter_of_Credit,2
TRX_005547,VND_0057,Japan,2023-12-14,9763.48,Open_Account,2
TRX_003405,VND_0059,Canada,2023-02-18,8470.75,Open_Account,2
TRX_013643,VND_0059,Canada,2023-11-26,8386.58,Wire,2
TRX_000831,VND_0060,Japan,2023-01-26,8319.79,Letter_of_Credit,4
TRX_005181,VND_0060,Japan,2023-04-02,9174.82,Letter_of_Credit,4
TRX_011871,VND_0060,Japan,2023-08-16,9057.68,Letter_of_Credit,4
TRX_006749,VND_0060,Japan,2023-11-30,8985.15,Wire,4
TRX_006205,VND_0064,Switzerland,2023-03-30,8948.93,Wire,2
TRX_002711,VND_0064,Switzerland,2023-08-07,8410.78,Wire,2
TRX_007286,VND_0065,United Arab Emirates,2023-03-28,9305.52,Open_Account,5
TRX_002301,VND_0065,United Arab Emirates,2023-06-25,7671.94,Wire,5
TRX_014467,VND_0065,United Arab Emirates,2023-07-08,8540.33,Open_Account,5
TRX_001147,VND_0065,United Arab Emirates,2023-07-19,7711.14,Letter_of_Credit,5
TRX_001356,VND_0065,United Arab Emirates,2023-10-23,8801.23,Wire,5
TRX_013730,VND_0067,United Arab Emirates,2023-06-18,8903.11,Letter_of_Credit,2
TRX_011138,VND_0067,United Arab Emirates,2023-08-18,8715.55,Open_Account,2
TRX_007845,VND_0068,United Arab Emirates,2023-05-20,8354.29,Wire,3
TRX_006899,VND_0068,United Arab Emirates,2023-08-03,8212.16,Open_Account,3
TRX_014330,VND_0068,United Arab Emirates,2023-11-09,8152.01,Letter_of_Credit,3
TRX_014066,VND_0069,Japan,2023-01-13,8524.15,Wire,2
TRX_000567,VND_0069,Japan,2023-11-13,9093.82,Wire,2
TRX_004792,VND_0073,Germany,2023-06-06,7727.88,Open_Account,3
TRX_001724,VND_0073,Germany,2023-09-26,8742.73,Letter_of_Credit,3
TRX_001196,VND_0073,Germany,2023-11-14,9903.83,Open_Account,3
TRX_014047,VND_0074,Sanctioned_Proxy_Alpha,2023-04-21,9333.05,Letter_of_Credit,4
TRX_010495,VND_0074,Sanctioned_Proxy_Alpha,2023-07-11,9162.49,Letter_of_Credit,4
TRX_003378,VND_0074,Sanctioned_Proxy_Alpha,2023-08-26,9090.78,Letter_of_Credit,4
TRX_009362,VND_0074,Sanctioned_Proxy_Alpha,2023-11-06,8384.78,Wire,4
TRX_003886,VND_0081,Japan,2023-02-14,9531.28,Letter_of_Credit,2
TRX_013985,VND_0081,Japan,2023-08-26,9783.59,Wire,2
TRX_000694,VND_0084,Japan,2023-03-15,8942.79,Wire,2
TRX_008260,VND_0084,Japan,2023-05-08,8980.94,Wire,2
TRX_003354,VND_0086,United Arab Emirates,2023-07-10,7920.2,Open_Account,3
TRX_009881,VND_0086,United Arab Emirates,2023-07-18,8819.53,Open_Account,3
TRX_004014,VND_0086,United Arab Emirates,2023-10-29,8711.12,Open_Account,3
TRX_001708,VND_0092,United Arab Emirates,2023-01-11,7518.59,Wire,2
TRX_002400,VND_0092,United Arab Emirates,2023-12-06,9967.38,Open_Account,2
TRX_004350,VND_0100,Japan,2023-08-20,9397.04,Open_Account,2
TRX_009892,VND_0100,Japan,2023-09-14,9772.25,Wire,2
TRX_004145,VND_0101,Sanctioned_Proxy_Alpha,2023-05-21,8749.94,Open_Account,2
TRX_001593,VND_0101,Sanctioned_Proxy_Alpha,2023-06-15,8043.03,Wire,2
TRX_002608,VND_0102,Sanctioned_Proxy_Alpha,2023-10-15,8496.89,Open_Account,2
TRX_003509,VND_0102,Sanctioned_Proxy_Alpha,2023-12-05,7957.14,Wire,2
TRX_012280,VND_0103,Australia,2023-05-08,9234.64,Letter_of_Credit,2
TRX_013816,VND_0103,Australia,2023-06-28,7753.75,Letter_of_Credit,2
TRX_014404,VND_0106,Sanctioned_Proxy_Beta,2023-04-01,8056.59,Open_Account,3
TRX_012949,VND_0106,Sanctioned_Proxy_Beta,2023-05-04,7708.94,Wire,3
TRX_007295,VND_0106,Sanctioned_Proxy_Beta,2023-12-03,8383.87,Wire,3
TRX_013995,VND_0109,Japan,2023-04-05,9219.67,Wire,2
TRX_011757,VND_0109,Japan,2023-09-18,8121.25,Letter_of_Credit,2
TRX_006082,VND_0110,Germany,2023-05-26,9044.15,Wire,2
TRX_000893,VND_0110,Germany,2023-06-16,8634.72,Open_Account,2
TRX_003288,VND_0112,Switzerland,2023-03-17,8964.62,Wire,4
TRX_000387,VND_0112,Switzerland,2023-04-12,8105.03,Letter_of_Credit,4
TRX_000952,VND_0112,Switzerland,2023-06-22,8373.19,Wire,4
TRX_010557,VND_0112,Switzerland,2023-11-03,9792.55,Wire,4
TRX_007653,VND_0118,Singapore,2023-09-07,9804.89,Wire,3
TRX_011815,VND_0118,Singapore,2023-10-27,9184.19,Wire,3
TRX_010076,VND_0118,Singapore,2023-12-08,9579.57,Wire,3
TRX_013137,VND_0119,Sanctioned_Proxy_Beta,2023-01-17,8247.34,Wire,2
TRX_006486,VND_0119,Sanctioned_Proxy_Beta,2023-11-05,9329.52,Open_Account,2
TRX_012986,VND_0122,Singapore,2023-01-02,7550.93,Open_Account,6
TRX_012015,VND_0122,Singapore,2023-01-04,7832.3,Letter_of_Credit,6
TRX_004403,VND_0122,Singapore,2023-01-14,8039.89,Wire,6
TRX_006002,VND_0122,Singapore,2023-02-04,9485.91,Letter_of_Credit,6
TRX_012620,VND_0122,Singapore,2023-09-24,7943.95,Letter_of_Credit,6
TRX_004616,VND_0122,Singapore,2023-12-25,9252.26,Wire,6
TRX_009240,VND_0123,Sanctioned_Proxy_Beta,2023-06-20,8652.66,Letter_of_Credit,3
TRX_008714,VND_0123,Sanctioned_Proxy_Beta,2023-07-19,7683.84,Letter_of_Credit,3
TRX_002994,VND_0123,Sanctioned_Proxy_Beta,2023-10-04,9490.44,Letter_of_Credit,3
TRX_006552,VND_0125,Sanctioned_Proxy_Alpha,2023-03-18,7904.05,Letter_of_Credit,4
TRX_012233,VND_0125,Sanctioned_Proxy_Alpha,2023-04-02,9289.37,Open_Account,4
TRX_003920,VND_0125,Sanctioned_Proxy_Alpha,2023-08-01,8994.52,Letter_of_Credit,4
TRX_008169,VND_0125,Sanctioned_Proxy_Alpha,2023-10-07,8813.0,Letter_of_Credit,4
TRX_003341,VND_0128,United States,2023-02-17,9821.72,Letter_of_Credit,2
TRX_013197,VND_0128,United States,2023-12-02,8650.19,Open_Account,2
TRX_000691,VND_0130,Sanctioned_Proxy_Alpha,2023-09-13,7865.02,Letter_of_Credit,2
TRX_012809,VND_0130,Sanctioned_Proxy_Alpha,2023-10-03,7952.25,Letter_of_Credit,2
TRX_002355,VND_0132,United Arab Emirates,2023-01-31,7704.51,Letter_of_Credit,7
TRX_004786,VND_0132,United Arab Emirates,2023-03-16,8481.64,Wire,7
TRX_007202,VND_0132,United Arab Emirates,2023-03-24,8323.5,Open_Account,7
TRX_013323,VND_0132,United Arab Emirates,2023-04-27,7751.22,Wire,7
TRX_006466,VND_0132,United Arab Emirates,2023-08-03,9206.87,Open_Account,7
TRX_012483,VND_0132,United Arab Emirates,2023-11-12,7583.35,Letter_of_Credit,7
TRX_003129,VND_0132,United Arab Emirates,2023-12-08,8128.05,Letter_of_Credit,7
TRX_010223,VND_0136,Germany,2023-07-26,9396.53,Open_Account,2
TRX_011248,VND_0136,Germany,2023-09-24,9530.22,Open_Account,2
TRX_000851,VND_0137,Switzerland,2023-10-15,9693.57,Letter_of_Credit,2
TRX_011259,VND_0137,Switzerland,2023-10-23,9883.74,Letter_of_Credit,2
TRX_008291,VND_0138,United States,2023-01-02,9414.13,Open_Account,2
TRX_005091,VND_0138,United States,2023-08-04,8898.63,Letter_of_Credit,2
TRX_002229,VND_0140,Sanctioned_Proxy_Alpha,2023-03-21,8380.59,Letter_of_Credit,3
TRX_009333,VND_0140,Sanctioned_Proxy_Alpha,2023-07-14,8048.94,Open_Account,3
TRX_013478,VND_0140,Sanctioned_Proxy_Alpha,2023-11-07,8778.89,Letter_of_Credit,3
TRX_004971,VND_0142,Sanctioned_Proxy_Alpha,2023-04-23,9806.95,Letter_of_Credit,2
TRX_009955,VND_0142,Sanctioned_Proxy_Alpha,2023-12-18,8158.57,Letter_of_Credit,2
TRX_002598,VND_0146,Sanctioned_Proxy_Beta,2023-05-29,9121.04,Wire,2
TRX_002530,VND_0146,Sanctioned_Proxy_Beta,2023-11-12,8147.04,Open_Account,2
TRX_010226,VND_0148,Germany,2023-04-18,9114.46,Wire,2
TRX_009089,VND_0148,Germany,2023-09-23,8466.51,Letter_of_Credit,2
TRX_012229,VND_0149,United Arab Emirates,2023-02-07,8405.17,Wire,4
TRX_011556,VND_0149,United Arab Emirates,2023-07-03,8140.24,Open_Account,4
TRX_012042,VND_0149,United Arab Emirates,2023-10-03,7577.26,Wire,4
TRX_001754,VND_0149,United Arab Emirates,2023-12-13,9609.8,Letter_of_Credit,4
TRX_010658,VND_0151,Sanctioned_Proxy_Alpha,2023-01-03,8289.64,Letter_of_Credit,4
TRX_003347,VND_0151,Sanctioned_Proxy_Alpha,2023-02-14,9235.58,Letter_of_Credit,4
TRX_012384,VND_0151,Sanctioned_Proxy_Alpha,2023-09-10,8932.81,Letter_of_Credit,4
TRX_010134,VND_0151,Sanctioned_Proxy_Alpha,2023-09-11,9956.59,Open_Account,4
TRX_011739,VND_0153,United States,2023-03-02,9366.47,Letter_of_Credit,4
TRX_009835,VND_0153,United States,2023-05-18,7623.22,Open_Account,4
TRX_012741,VND_0153,United States,2023-08-16,7942.57,Open_Account,4
TRX_014408,VND_0153,United States,2023-10-03,9331.29,Wire,4
TRX_003332,VND_0156,Switzerland,2023-05-29,9091.06,Wire,2
TRX_008733,VND_0156,Switzerland,2023-09-11,7982.5,Letter_of_Credit,2
TRX_008125,VND_0161,Japan,2023-01-20,7854.32,Open_Account,4
TRX_005829,VND_0161,Japan,2023-02-13,9570.73,Open_Account,4
TRX_011241,VND_0161,Japan,2023-04-22,8264.26,Wire,4
TRX_011690,VND_0161,Japan,2023-08-20,9515.34,Wire,4
TRX_010962,VND_0162,United States,2023-06-24,8231.18,Letter_of_Credit,4
TRX_012643,VND_0162,United States,2023-07-30,8189.24,Open_Account,4
TRX_008617,VND_0162,United States,2023-08-09,9941.22,Open_Account,4
TRX_008138,VND_0162,United States,2023-09-12,7984.12,Letter_of_Credit,4
TRX_001940,VND_0163,Japan,2023-05-30,9363.86,Wire,3
TRX_005687,VND_0163,Japan,2023-08-04,7816.94,Wire,3
TRX_012232,VND_0163,Japan,2023-10-22,9412.98,Letter_of_Credit,3
TRX_014866,VND_0164,Sanctioned_Proxy_Beta,2023-01-05,8365.08,Letter_of_Credit,3
TRX_008290,VND_0164,Sanctioned_Proxy_Beta,2023-08-12,9516.53,Open_Account,3
TRX_012765,VND_0164,Sanctioned_Proxy_Beta,2023-11-20,9943.65,Open_Account,3
TRX_000046,VND_0169,Sanctioned_Proxy_Alpha,2023-07-28,8710.97,Open_Account,2
TRX_011548,VND_0169,Sanctioned_Proxy_Alpha,2023-12-10,8280.21,Open_Account,2
TRX_006368,VND_0170,Germany,2023-08-24,7588.18,Letter_of_Credit,2
TRX_007332,VND_0170,Germany,2023-12-18,9755.27,Letter_of_Credit,2
TRX_014190,VND_0171,Germany,2023-01-24,9638.72,Letter_of_Credit,2
TRX_007662,VND_0171,Germany,2023-12-27,7626.87,Wire,2
TRX_011484,VND_0179,Japan,2023-03-11,8848.22,Letter_of_Credit,2
TRX_007801,VND_0179,Japan,2023-05-22,7747.0,Letter_of_Credit,2
TRX_008847,VND_0180,Sanctioned_Proxy_Alpha,2023-02-13,7707.57,Open_Account,2
TRX_004182,VND_0180,Sanctioned_Proxy_Alpha,2023-03-07,7861.97,Letter_of_Credit,2
TRX_014756,VND_0181,Japan,2023-10-10,9086.67,Wire,2
TRX_003991,VND_0181,Japan,2023-10-29,8794.23,Open_Account,2
TRX_008722,VND_0183,Singapore,2023-01-29,9487.19,Wire,3
TRX_009197,VND_0183,Singapore,2023-06-07,9648.62,Wire,3
TRX_009728,VND_0183,Singapore,2023-07-29,8939.94,Letter_of_Credit,3
TRX_000261,VND_0184,United Arab Emirates,2023-05-28,8663.52,Open_Account,2
TRX_001019,VND_0184,United Arab Emirates,2023-08-26,7803.61,Wire,2
TRX_014988,VND_0186,Sanctioned_Proxy_Alpha,2023-03-19,9760.23,Wire,3
TRX_011221,VND_0186,Sanctioned_Proxy_Alpha,2023-08-12,9836.5,Wire,3
TRX_009075,VND_0186,Sanctioned_Proxy_Alpha,2023-09-12,9164.44,Open_Account,3
TRX_009046,VND_0190,Japan,2023-04-20,7770.51,Letter_of_Credit,2
TRX_008626,VND_0190,Japan,2023-06-05,7856.96,Open_Account,2
TRX_010373,VND_0192,United Arab Emirates,2023-08-19,9340.16,Letter_of_Credit,2
TRX_012506,VND_0192,United Arab Emirates,2023-08-28,8446.87,Wire,2
TRX_005389,VND_0194,Sanctioned_Proxy_Beta,2023-02-07,8259.61,Wire,2
TRX_009785,VND_0194,Sanctioned_Proxy_Beta,2023-06-30,9617.05,Wire,2
TRX_004765,VND_0195,Sanctioned_Proxy_Alpha,2023-03-07,8211.83,Letter_of_Credit,2
TRX_010516,VND_0195,Sanctioned_Proxy_Alpha,2023-10-01,8798.01,Wire,2
TRX_005087,VND_0202,Japan,2023-06-28,9922.21,Letter_of_Credit,3
TRX_013597,VND_0202,Japan,2023-09-29,8759.11,Open_Account,3
TRX_011589,VND_0202,Japan,2023-12-21,9706.71,Letter_of_Credit,3
TRX_002988,VND_0208,Japan,2023-05-24,7563.51,Letter_of_Credit,2
TRX_001246,VND_0208,Japan,2023-06-25,8672.98,Letter_of_Credit,2
TRX_007201,VND_0211,Japan,2023-07-18,9941.48,Open_Account,2
TRX_009656,VND_0211,Japan,2023-12-29,7838.17,Open_Account,2
TRX_002417,VND_0214,Sanctioned_Proxy_Beta,2023-08-29,8865.72,Wire,2
TRX_008010,VND_0214,Sanctioned_Proxy_Beta,2023-12-24,7611.02,Wire,2
TRX_007874,VND_0215,Sanctioned_Proxy_Beta,2023-04-11,8051.55,Letter_of_Credit,3
TRX_006569,VND_0215,Sanctioned_Proxy_Beta,2023-04-27,9463.89,Letter_of_Credit,3
TRX_007633,VND_0215,Sanctioned_Proxy_Beta,2023-12-15,9704.34,Wire,3
TRX_006671,VND_0218,Switzerland,2023-06-10,9849.26,Wire,2
TRX_010319,VND_0218,Switzerland,2023-06-28,9986.09,Letter_of_Credit,2
TRX_002054,VND_0219,Singapore,2023-02-19,7889.52,Open_Account,2
TRX_007268,VND_0219,Singapore,2023-09-02,9196.95,Wire,2
TRX_005643,VND_0220,Japan,2023-09-19,9674.13,Wire,2
TRX_000284,VND_0220,Japan,2023-12-11,9967.49,Letter_of_Credit,2
TRX_013444,VND_0223,Singapore,2023-03-02,8960.96,Letter_of_Credit,4
TRX_001322,VND_0223,Singapore,2023-03-13,9047.29,Open_Account,4
TRX_000007,VND_0223,Singapore,2023-11-27,9890.38,Wire,4
TRX_002243,VND_0223,Singapore,2023-12-25,7742.88,Open_Account,4
TRX_009036,VND_0224,United Arab Emirates,2023-08-14,9880.39,Open_Account,2
TRX_013917,VND_0224,United Arab Emirates,2023-12-20,8880.4,Wire,2
TRX_012951,VND_0228,United States,2023-07-04,9469.67,Letter_of_Credit,2
TRX_010146,VND_0228,United States,2023-12-14,9662.64,Letter_of_Credit,2
TRX_009202,VND_0229,Canada,2023-05-07,7829.28,Letter_of_Credit,3
TRX_012411,VND_0229,Canada,2023-06-01,8168.43,Open_Account,3
TRX_001258,VND_0229,Canada,2023-08-25,9501.26,Wire,3
TRX_005634,VND_0230,United States,2023-01-29,7790.64,Wire,2
TRX_000714,VND_0230,United States,2023-04-04,8828.86,Open_Account,2
TRX_010233,VND_0232,United Arab Emirates,2023-03-20,9695.76,Letter_of_Credit,5
TRX_003783,VND_0232,United Arab Emirates,2023-07-26,8547.41,Letter_of_Credit,5
TRX_002825,VND_0232,United Arab Emirates,2023-09-04,8019.75,Open_Account,5
TRX_005482,VND_0232,United Arab Emirates,2023-10-09,9472.08,Letter_of_Credit,5
TRX_008573,VND_0232,United Arab Emirates,2023-11-02,7630.49,Open_Account,5
TRX_012943,VND_0235,Japan,2023-05-19,8302.2,Wire,2
TRX_002203,VND_0235,Japan,2023-09-16,9090.41,Wire,2
TRX_003194,VND_0236,Japan,2023-03-01,9568.99,Open_Account,2
TRX_008359,VND_0236,Japan,2023-05-04,9155.32,Letter_of_Credit,2
TRX_005912,VND_0237,Sanctioned_Proxy_Alpha,2023-06-24,8608.4,Wire,2
TRX_013577,VND_0237,Sanctioned_Proxy_Alpha,2023-09-18,9717.57,Wire,2
TRX_005755,VND_0238,Switzerland,2023-04-11,7959.1,Letter_of_Credit,2
TRX_008513,VND_0238,Switzerland,2023-05-30,9558.05,Letter_of_Credit,2
TRX_004161,VND_0239,Germany,2023-04-10,8319.16,Open_Account,2
TRX_001893,VND_0239,Germany,2023-12-17,8713.54,Letter_of_Credit,2
TRX_010881,VND_0241,Germany,2023-04-24,9902.08,Open_Account,2
TRX_006348,VND_0241,Germany,2023-07-16,7800.01,Letter_of_Credit,2
TRX_009923,VND_0243,Switzerland,2023-03-01,8556.49,Letter_of_Credit,3
TRX_001864,VND_0243,Switzerland,2023-03-18,9312.47,Letter_of_Credit,3
TRX_000155,VND_0243,Switzerland,2023-07-14,7882.66,Letter_of_Credit,3
TRX_007950,VND_0246,Switzerland,2023-01-21,8630.73,Open_Account,3
TRX_010822,VND_0246,Switzerland,2023-08-06,8129.24,Open_Account,3
TRX_004001,VND_0246,Switzerland,2023-09-20,9135.33,Letter_of_Credit,3
TRX_008828,VND_0249,United States,2023-01-21,8577.41,Open_Account,3
TRX_009605,VND_0249,United States,2023-02-22,9698.2,Wire,3
TRX_006250,VND_0249,United States,2023-04-26,9019.29,Letter_of_Credit,3
TRX_002645,VND_0250,Sanctioned_Proxy_Alpha,2023-02-25,8626.19,Open_Account,2
TRX_014360,VND_0250,Sanctioned_Proxy_Alpha,2023-12-21,9405.64,Wire,2
TRX_007786,VND_0251,United States,2023-04-16,7568.05,Letter_of_Credit,2
TRX_007772,VND_0251,United States,2023-06-06,8957.53,Open_Account,2
TRX_014133,VND_0253,Japan,2023-01-02,7519.56,Letter_of_Credit,3
TRX_009769,VND_0253,Japan,2023-04-27,7569.54,Letter_of_Credit,3
TRX_000828,VND_0253,Japan,2023-06-13,8750.52,Letter_of_Credit,3
TRX_012314,VND_0256,Switzerland,2023-05-25,8996.94,Wire,3
TRX_010534,VND_0256,Switzerland,2023-06-30,7580.36,Wire,3
TRX_008402,VND_0256,Switzerland,2023-08-18,8053.48,Wire,3
TRX_011272,VND_0258,Japan,2023-05-06,9501.86,Letter_of_Credit,4
TRX_009905,VND_0258,Japan,2023-06-10,9558.79,Letter_of_Credit,4
TRX_000132,VND_0258,Japan,2023-08-01,7573.22,Open_Account,4
TRX_008395,VND_0258,Japan,2023-09-24,8056.02,Wire,4
TRX_012886,VND_0260,United States,2023-03-07,7922.16,Wire,4
TRX_011621,VND_0260,United States,2023-03-08,9519.7,Open_Account,4
TRX_010247,VND_0260,United States,2023-05-06,8826.35,Wire,4
TRX_001082,VND_0260,United States,2023-07-09,7690.73,Open_Account,4
TRX_006269,VND_0261,Germany,2023-08-28,9504.89,Letter_of_Credit,2
TRX_013199,VND_0261,Germany,2023-10-01,7954.28,Wire,2
TRX_003114,VND_0262,Singapore,2023-06-03,9610.93,Wire,2
TRX_006758,VND_0262,Singapore,2023-08-29,8922.42,Wire,2
TRX_006609,VND_0263,United States,2023-08-15,8531.84,Letter_of_Credit,3
TRX_000653,VND_0263,United States,2023-08-29,8437.17,Wire,3
TRX_013755,VND_0263,United States,2023-09-11,9682.01,Wire,3
TRX_013979,VND_0264,Singapore,2023-01-03,9511.59,Wire,2
TRX_006453,VND_0264,Singapore,2023-12-07,8086.28,Open_Account,2
TRX_003905,VND_0266,Switzerland,2023-02-23,9311.84,Wire,3
TRX_003353,VND_0266,Switzerland,2023-08-07,8250.79,Letter_of_Credit,3
TRX_009721,VND_0266,Switzerland,2023-10-23,7593.74,Letter_of_Credit,3
TRX_001766,VND_0267,Australia,2023-03-18,8848.89,Letter_of_Credit,2
TRX_007208,VND_0267,Australia,2023-11-17,8437.33,Wire,2
TRX_014136,VND_0270,Switzerland,2023-05-01,9512.37,Letter_of_Credit,2
TRX_008346,VND_0270,Switzerland,2023-10-08,9542.07,Open_Account,2
TRX_013486,VND_0271,Germany,2023-02-07,9518.96,Wire,2
TRX_004000,VND_0271,Germany,2023-03-08,8338.51,Wire,2
TRX_007498,VND_0272,Japan,2023-01-19,8138.82,Wire,5
TRX_011583,VND_0272,Japan,2023-03-15,7960.3,Wire,5
